itemCode,name,Description,customer,Max Qty,Count,Price,Cost,MSRP,subscriptionPeriodMonths,Frequency,billingType,billingPeriodType,firstBillingPeriodType,cancelTime,renewalAction
CES-ADV-LIC,CES-ADV-LIC,"Cisco Secure Email Cloud Advantage, Essential+ GSU",Broker,4765,9,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-NU-BCCB-TF,A-FLEX-NU-BCCB-TF,Bridge Country Call Back with Toll Free Audio (NU),Broker,4745,48,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-US-TA-AB,A-SPK-US-TA-AB,Audio Broadcast (1),Broker,4737,192,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-NUCL-E,A-FLEX-NUCL-E,NU Webex Calling Workspace for Common Area,Broker,4723,154,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E3S-UMB-SIGA,E3S-UMB-SIGA,Security EA 3.0 Umbrella Secure Internet Gateway A,Broker,4650,3,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-MSUITE-FAC,A-FLEX-MSUITE-FAC,Cloud Meetings Entitlement for Faculty/Staff,Broker,4596,2,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
CES-PREMIUM-BNDL,CES-PREMIUM-BNDL,"AntiSpam, Sophos, Outbreak, DLP, RES, Cntrl Mgmt &",Broker,4550,7,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
TE-USERS,TE-USERS,Cisco ThousandEyes - End User Monitoring (per user,Broker,4520,15,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E3S-ES-ADV-ESA,E3S-ES-ADV-ESA,Security EA 3.0 Cisco Secure Email Advantage,Broker,4510,3,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-WX-CS-MNTH,A-WX-CS-MNTH,Monthly Committed Audio Spend,Broker,4494,30,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-EMP-CLDCALL1,A-SPK-EMP-CLDCALL1,Cloud Calling -2,Broker,4475,18,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E3S-XDR-ADV,E3S-XDR-ADV,Security EA 3.0 Cisco XDR Advantage,Broker,4200,2,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-EMP-MSG1,A-SPK-EMP-MSG1,Business Messaging -1,Broker,4175,18,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E3N-MR-ENT,E3N-MR-ENT,Meraki MR Enterprise Agreement,Broker,4174,25,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-NUCM-MC,A-FLEX-NUCM-MC,NU Cloud Meetings - Meetings -1,Broker,4095,203,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-F-EC-5K-ENT,A-FLEX-F-EC-5K-ENT,FedRAMP Events 5000 Entitlement,Broker,4074,1,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E2SE-P-ISE-BASE,E2SE-P-ISE-BASE,Security ELA 2.0 ISE Base License,Broker,4000,6,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-AUPM1-EAL,A-FLEX-AUPM1-EAL,AU On-Premises Meetings Tier 1 purchased with EA C,Broker,3981,82,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-WX-STORAGE-INC,A-WX-STORAGE-INC,Included Storage,Broker,3970,123,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
DUO-ADVANTAGE,DUO-ADVANTAGE,Cisco Duo Advantage edition (formerly Access),Broker,3891,20,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-AUD-OCP1-NU,A-AUD-OCP1-NU,Outbound Calling Plan - Named User,Broker,3868,245,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-EA-MPL-E-U,A-FLEX-EA-MPL-E-U,EA Cloud Meetings with EA On Prem Calling for High,Broker,3830,2,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-CS-TA-IT,A-SPK-CS-TA-IT,Global Toll -1,Broker,3767,9,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-EE-ENT,A-FLEX-EE-ENT,Meetings Suite Entitlement -1,Broker,3653,95,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-P-TPRM-11X,A-FLEX-P-TPRM-11X,Telepresence Room v11 License,Broker,3588,85,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E3S-ES-ETD-ESS,E3S-ES-ETD-ESS,Security EA 3.0 Cisco Email Threat Defense Essenti,Broker,3575,2,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-EA-P-SUITE,A-FLEX-EA-P-SUITE,Webex Suite EA Cloud Meetings and On Prem Calling,Broker,3572,18,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E3S-XDR-ESS,E3S-XDR-ESS,Security EA 3.0 Cisco XDR Essentials,Broker,3429,2,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E3S-EP-PRM,E3S-EP-PRM,Security EA 3.0 AMP Endpoints Premier,Broker,3400,1,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-ENH-CUBE,A-FLEX-ENH-CUBE,CUBE Enhanced Trunk Session License,Broker,3370,26,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E2SF-U-INSIGHTS,E2SF-U-INSIGHTS,Sec EA 2.0 Choice Umbrella Insights,Broker,3360,6,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-AUCM1,A-FLEX-AUCM1,AU Cloud Meetings Tier 1 -1,Broker,3328,68,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E2SE-P-ISE-APEX,E2SE-P-ISE-APEX,Security ELA 2.0 ISE Apex License,Broker,3324,6,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E2SE-S-AC-APEX,E2SE-S-AC-APEX,Security ELA 2.0 AnyConnect Apex License,Broker,3324,6,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E2SE-E-CES,E2SE-E-CES,Security ELA 2.0 Cloud Email Sec. (ESP+AMP+GSU) Li,Broker,3324,6,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E2SE-W-WSA,E2SE-W-WSA,Security ELA 2.0 Web Security Appliance (WSP+AMP+S,Broker,3324,6,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E2SE-P-ISE-PLUS,E2SE-P-ISE-PLUS,Security ELA 2.0 ISE Plus License,Broker,3324,6,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E2SE-W-PLATFORM,E2SE-W-PLATFORM,Security ELA 2.0 Umbrella Platform,Broker,3324,6,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
UCXN-10X-EA-PRO,UCXN-10X-EA-PRO,Unity Connection 10.x EA User License,Broker,3264,4,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
UCM-10X-EA-PRO,UCM-10X-EA-PRO,UC Manager 10.x EA User License,Broker,3264,4,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
ER-10X-EA-USR,ER-10X-EA-USR,ER 10.x 911 for EA - User License,Broker,3264,4,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-WX-STORAGE-ADD,A-WX-STORAGE-ADD,Add-on Storage,Broker,3155,16,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-WX-STG,A-FLEX-WX-STG,Included Webex Storage for Flex,Broker,3120,200,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-P-TPRM-12X,A-FLEX-P-TPRM-12X,Telepresence Room v12 License -1,Broker,3119,292,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
SVS-SPK-SUPT-BAS,SVS-SPK-SUPT-BAS,Basic Support for Cisco Spark,Broker,3060,1008,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
DC-MGT-SAAS-EST-C,DC-MGT-SAAS-EST-C,Cisco Intersight SaaS - Essentials,Broker,3058,42,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-AUD-OCP1-U-OCPL,A-AUD-OCP1-U-OCPL, from the US- Unlimited  for US - Uncommitted,Broker,3057,30,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-M3-EE1000-PV,A-SPK-M3-EE1000-PV,Spark Meet - Ent Edition (EDU) - Emp Count - Uplif,Broker,3024,24,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
CES-AMP,CES-AMP,Advanced Malware Protection Add-On,Broker,3010,7,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
DUO-EDU-ADV-S,DUO-EDU-ADV-S,Duo Advantage for edu Student users (formerly Acce,Broker,3000,1,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E3S-DUO-ACS,E3S-DUO-ACS,Security EA 3.0 DUO Access Edition,Broker,3000,4,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-AUD-NU-BCCB,A-AUD-NU-BCCB,NU Meetings Bridge Country Call Back Audio -1,Broker,2963,207,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-NU-M1-X,A-SPK-NU-M1-X,Included Business Messaging (1),Broker,2923,260,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-MST-WX-CVI-ROOMS,A-MST-WX-CVI-ROOMS,Cisco Webex Video Int for MS Teams CVI per Active ,Broker,2874,212,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-MSTE-NU-ENT,A-FLEX-MSTE-NU-ENT,Meeting Suite Named User Entitlement -1,Broker,2842,85,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
MS120-8FP-HW,MS120-8FP-HW,Meraki MS120-8FP 1G L2 Cloud Managed 8x GigE 127W ,Broker,2831,126,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E2SF-U-SIG-ADV-K9,E2SF-U-SIG-ADV-K9,Sec EA 2.0 Choice Umbrella Secure Internet Gateway,Broker,2800,4,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-M1-X,A-SPK-M1-X,Included Spark Msg,Broker,2765,25,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-M2-X,A-SPK-M2-X,Included Spark Meet,Broker,2765,25,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
LIC-CMS-EA-USER,LIC-CMS-EA-USER,CMS (Cisco Meeting Server) PMP PLUS User License,Broker,2720,4,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
LIC-TP-PMP-EA-USER,LIC-TP-PMP-EA-USER,1 XC PMP User License,Broker,2720,4,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E3S-ES-ADV-CMD,E3S-ES-ADV-CMD,Security EA 3.0 Cisco Cloud Mailbox Defense Advant,Broker,2700,2,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-PL-CA-EDU,A-FLEX-PL-CA-EDU,On-Premises Common Area Add-on for Education,Broker,2700,6,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-NU-WXSTG-X,A-SPK-NU-WXSTG-X,Included WebEx Storage (1),Broker,2655,166,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-EXP-E,A-FLEX-EXP-E,Enable Expressway-E Feature Set -1,Broker,2641,460,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-PJXS-AGT12X,A-FLEX-PJXS-AGT12X,On-Premises CCX Standard Agent License v12,Broker,2636,26,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-NUM-EE,A-FLEX-NUM-EE,NU Webex Meetings - Meetings Suite,Broker,2632,68,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-P-ENH-11X,A-FLEX-P-ENH-11X,Enhanced v11 License -1,Broker,2620,27,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E2N-C93002-G-A,E2N-C93002-G-A,C9300 48-port CISCO DNA EA Advantage New Purchase,Broker,2606,12,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-PJXS-AGT11X,A-FLEX-PJXS-AGT11X,On-Premises UCCX Standard Agent License v11,Broker,2579,41,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-NU-MC-X,A-SPK-NU-MC-X,Included WebEx Meeting Center (1),Broker,2578,169,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-NU-M2-X,A-SPK-NU-M2-X,Included Basic Meetings (1),Broker,2568,168,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
CES-ESS-LIC,CES-ESS-LIC,Ciso Secure Email Cloud ESS Inbound+Malware Defens,Broker,2549,11,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-WX-EE-1K-X,A-WX-EE-1K-X,Included Enterprise edition services,Broker,2520,24,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-WX-EC-EE-EDU-1K,A-WX-EC-EE-EDU-1K,Spark Meet - Enterprise Edition( EDU) - Emp Count,Broker,2520,24,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
DUO-SUBACCT,DUO-SUBACCT,Cisco DUO subscription,Broker,2503,8,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-AUD-CS-MNTH,A-AUD-CS-MNTH,Committed Audio Monthly Spend -1,Broker,2452,6,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
JABBER-DESKTOP-EA,JABBER-DESKTOP-EA,Jabber for Desktop for PC and Mac for EA,Broker,2448,4,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-EXP-AN,A-FLEX-EXP-AN,Enable Advanced Networking Option -1,Broker,2441,439,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-EXP-TURN,A-FLEX-EXP-TURN,1800 TURN Relay Option -1,Broker,2441,439,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E2SF-I-ISE-PREM-10,E2SF-I-ISE-PREM-10,Security EA 2.0 Choice ISE Apex License 10pk,Broker,2440,10,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
UMB-WLAN,UMB-WLAN,Cisco Umbrella WLAN,Broker,2417,29,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-WX-CS-TA-ITF,A-WX-CS-TA-ITF,Global Toll Free (1),Broker,2411,43,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-WX-EC-TEC+I,A-WX-EC-TEC+I,Toll Employee Count Plus International,Broker,2400,4,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E3S-USIGE-RBIALL,E3S-USIGE-RBIALL,Security EA 3.0 Umbrella Remote Browser Isolation ,Broker,2400,2,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-AUD-AU-BCCB,A-AUD-AU-BCCB,AU Meetings Bridge Country Call Me / Call Back Aud,Broker,2389,41,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-CCX-P-C,A-FLEX-CCX-P-C,On-Premises UCCX Premium Concurrent Agent,Broker,2381,116,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E2N-C9400-B-A,E2N-C9400-B-A,C9400 CISCO DNA EA Advantage  With Existing Essent,Broker,2379,12,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-TMS-250USR,A-FLEX-TMS-250USR,TMS 250 System License -1,Broker,2357,330,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-MC-ENT,A-FLEX-MC-ENT,Meetings Entitlement -1,Broker,2339,96,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-C-DEV-REG,A-FLEX-C-DEV-REG,Cloud Device Registration,Broker,2318,185,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-NU-M1-C1WS-X,A-SPK-NU-M1-C1WS-X,Hosted Calling with Included Business Messaging,Broker,2290,96,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-C1-SD-PV,A-SPK-C1-SD-PV,Cloud Calling and Business Messaging - Uplift,Broker,2285,5,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-NU-CMR-25-X,A-SPK-NU-CMR-25-X,Included Collaboration Meeting Rooms (Cloud) Named,Broker,2232,166,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-WXA-MTG-NU,A-FLEX-WXA-MTG-NU,Webex Assistant for Webex Meetings,Broker,2187,57,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-WX-NU-CMR-25,A-WX-NU-CMR-25,Named User Collaboration Meeting Rooms Capacity 25,Broker,2183,72,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-MTGC-ENT,A-FLEX-MTGC-ENT,Meetings Entitlement,Broker,2153,213,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-SRST-EP,A-FLEX-SRST-EP,SRST Endpoints -1,Broker,2138,191,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-CCX-P-AGT,A-FLEX-CCX-P-AGT,On-Premises UCCX Premium Agent License Smart Licen,Broker,2133,88,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-NUM-MC,A-FLEX-NUM-MC,NU Meetings - Meetings Center,Broker,2107,272,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E2N-C38502-B-A,E2N-C38502-B-A,C3850 CISCO DNA EA Adv. 48-Port With Existing IPB ,Broker,2100,1,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-NU-M3,A-SPK-NU-M3,Business Messaging and Advanced Meetings (1),Broker,2099,228,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-WX-NU-MC-SPKMSG,A-WX-NU-MC-SPKMSG,Included Spark Message for Meeting Center,Broker,2093,69,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E2N-C93001-G-A,E2N-C93001-G-A,C9300 24-port CISCO DNA EA Advantage New Purchase,Broker,2040,1,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
CON-ELSU-ELOLUC17,CON-ELSU-ELOLUC17,ELA COLLAB SWSS UPGR ELA 2 UC Application - 36 mon,Broker,2037,3,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
ELA2-COL-UC17-USR,ELA2-COL-UC17-USR,ELA 2 UC Applications User,Broker,2037,3,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
CON-ELSU-ELA2MP17,CON-ELSU-ELA2MP17,ELA COLLAB SWSS UPGR ELA 2 Multiparty  Us - 36 mon,Broker,2037,3,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
ELA2-COL-MP17-USR,ELA2-COL-MP17-USR,ELA 2 Multiparty  User,Broker,2037,3,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
CES-SAFEUS,CES-SAFEUS,Safe Unsubscribe Add-On,Broker,2035,12,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
SVS-WEB-SUP-B,SVS-WEB-SUP-B,Basic Support for Web Security,Broker,2001,5,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
WEB-SEC-SUB,WEB-SEC-SUB,Cisco Web Security XaaS Subscription,Broker,2001,5,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-EXP-PAK,A-FLEX-EXP-PAK,Expressway Product Authorization Key -1,Broker,2001,1075,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E3A-TE-UNITS,E3A-TE-UNITS,Cisco ThousandEyes - Cloud and Enterprise Agents (,Broker,2000,1,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
ST-CL-PCM,ST-CL-PCM,"Stealthwatch Cloud Public Monitoring, Eff Mega Flo",Broker,2000,1,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E2SF-U-DNS-R--ADV,E2SF-U-DNS-R--ADV,Sec EA 2.0 Choice Umbrella DNS Advantage,Broker,2000,1,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E2SF-DUO-ADV,E2SF-DUO-ADV,EA Choice-Duo Advantage edition (formerly Access),Broker,2000,1,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E3S-DUO-EDU-ESS-FS,E3S-DUO-EDU-ESS-FS,Security EA3.0-Duo Essentials for Education Facult,Broker,2000,1,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-WRK-STORAGE-ENT,A-WRK-STORAGE-ENT,File Storage Entitlement,Broker,2000,2,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
ST-FR-LIC,ST-FR-LIC,Cisco Secure Network Analytics Flow Rate License,Broker,2000,1,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-PJXP-AGT11X,A-FLEX-PJXP-AGT11X,On-Premises UCCX Premium Agent License v11,Broker,1992,54,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-NU-TNU+,A-SPK-NU-TNU+,Toll Named Users Plus (1),Broker,1939,171,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E2SF-P-AMP-EP-10,E2SF-P-AMP-EP-10,Sec EA 2.0 Choice Advanced Malware Protection Endp,Broker,1890,16,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
DNAS-ACT-1Y,DNAS-ACT-1Y,DNA Spaces ACT software subscription (1 year),Broker,1875,3,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
DC-MGT-UCSC-1S,DC-MGT-UCSC-1S,UCS Central Per Server - 1 Server License,Broker,1866,145,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
